scenario	tau	writes	write_rate	writes_per_1k_tokens	writes_per_1k_records	pr_auc
C	0.5	246	0.9609375	47.05432287681714	960.9375	1.0
C	1.0	128	0.5	20.453819111537232	500.0	1.0
C	1.5	128	0.5	20.453819111537232	500.0	1.0
C	2.0	115	0.44921875	18.355945730247406	449.21875	1.0
C	2.5	71	0.27734375	10.131278538812785	277.34375	1.0
C	3.0	39	0.15234375	5.630955818654346	152.34375	1.0
C	3.5	21	0.08203125	2.7476121941645952	82.03125	1.0
